date,order_id,email,page_visited,duration,total_basket,has_confirmed
2021-01-01,1aacfa9c-770d-4d90-9763-6551c8d89f55,baslie4t@bravesites.com,,700.82,299.1,1
2021-01-01,5d0f80cf-2a32-4d1a-8bc8-e608822e95d4,mhextfz@nba.com,12.0,550.71,617.24,1
2021-01-01,8d2b7e99-dcd9-4883-bf42-061035735a24,pgeorgeonax@umich.edu,7.0,195.28,558.07,1
2021-01-01,2f518f9c-39e2-4d57-8e96-1409f3619e53,sstannas7d@mtv.com,13.0,353.41,48.65,1
2021-01-01,cd24bd4c-4d46-46c8-8259-c31ccfa3b3fa,wprestney1t@google.com.br,11.0,92.82,289.82,1
2021-01-01,3f9be911-5bb7-417a-838a-188fdc6606ed,parmisteadg0@jimdo.com,5.0,503.79,123.86,0
2021-01-01,3ba70472-5f6d-49c6-9e48-6466701b7ec1,bmerrigans19@bandcamp.com,1.0,712.71,80.16,1
2021-01-01,e7548f6d-21dc-4a1a-bd9e-beed50d28ee0,hloosmoregj@edublogs.org,6.0,210.9,199.52,0
2021-01-01,6f6fb895-8120-4493-94c0-06024add393e,mroyden8m@lycos.com,1.0,506.15,681.61,0
2021-01-01,03139b3c-16dc-4d42-907e-98f04cc2a4d5,kfarresn6@who.int,12.0,912.63,776.26,1
2021-01-01,c564c8d2-ba40-40fe-93a2-712789cd9338,mdelamaineop@irs.gov,3.0,936.01,639.96,1
2021-01-01,7e031814-0420-481d-86e1-fc2ebefb215e,arattriel3@pagesperso-orange.fr,11.0,374.11,113.07,1
2021-01-02,8495452b-ce30-4f35-9b5e-42cf60fa5183,gfraper3@constantcontact.com,10.0,817.44,761.33,1
2021-01-02,07abf118-5120-4774-a93e-a8c464f94489,tmaypother3g@ameblo.jp,,846.03,45.34,1
2021-01-02,fc07c636-6dc5-4171-80be-5f556aecea72,awillmentfy@de.vu,8.0,180.76,393.85,1
2021-01-02,f2a109da-9cce-4c06-afda-f8623a4c9b4a,arookefu@guardian.co.uk,1.0,994.61,731.07,1
